A	Alimentary tract and metabolism
A01	Stomatological preparations
A01A	Stomatological preparations
A01AA	Caries prophylactic agents
A01AA03	Olaflur
A01AA04	Stannous fluoride
A01AA51	Sodium fluoride, combinations
A01AB	Antiinfectives and antiseptics for local oral treatment
A01AB06	Domiphen
A01AB14	Benzoxonium chloride
A01AB15	Tibezonium iodide
A01AB19	Sodium perborate
A01AD	Other agents for local oral treatment
A01AD01	Epinephrine
A01AD02	Benzydamine
A01AD06	Adrenalone
A01AD07	Amlexanox
A02	Drugs for acid related disorders
A02A	Antacids
A02AA	Magnesium compounds
A02AA01	Magnesium carbonate
A02AA02	Magnesium oxide
A02AA05	Magnesium silicate
A02AB	Aluminium compounds
A02AB02	Algeldrate
A02AB03	Aluminium phosphate
A02AB05	Aluminium acetoacetate
A02AB06	Aloglutamol
A02AB07	Aluminium glycinate
A02AC	Calcium compounds
A02AC01	Calcium carbonate
A02AC02	Calcium silicate
A02AD	Combinations and complexes of aluminium, calcium and magnesium compounds
A02AD02	Magaldrate
A02AD04	Hydrotalcite
A02AD05	Almasilate
A02B	Drugs for peptic ulcer and gastro-oesophageal reflux disease (gord)
A02BA	H-receptor antagonists
A02BA04	Nizatidine
A02BA05	Niperotidine
A02BA06	Roxatidine
A02BA07	Ranitidine bismuth citrate
A02BA08	Lafutidine
A02BA51	Cimetidine, combinations
A02BA53	Famotidine, combinations
A02BB	Prostaglandins
A02BB02	Enprostil
A02BC	Proton pump inhibitors
A02BC01	Omeprazole
A02BC03	Lansoprazole
A02BC06	Dexlansoprazole
A02BC07	Dexrabeprazole
A02BC54	Rabeprazole, combinations
A02BD	Combinations for eradication of helicobacter pylori
A02BD04	Pantoprazole, amoxicillin and clarithromycin
A02BD06	Esomeprazole, amoxicillin and clarithromycin
A02BD11	Pantoprazole, amoxicillin, clarithromycin and metronidazole
A02BX	Other drugs for peptic ulcer and gastro-oesophageal reflux disease (gord)
A02BX01	Carbenoxolone
A02BX02	Sucralfate
A02BX03	Pirenzepine
A02BX04	Methiosulfonium chloride
A02BX06	Proglumide
A02BX08	Sulglicotide
A02BX09	Acetoxolone
A02BX10	Zolimidine
A02BX11	Troxipide
A02BX12	Bismuth subnitrate
A02BX13	Alginic acid
A02BX14	Rebamipide
A02BX77	Gefarnate, combinations with psycholeptics
A03	Drugs for functional gastrointestinal disorders
A03A	Drugs for functional gastrointestinal disorders
A03AA	Synthetic anticholinergics, esters with tertiary amino group
A03AA01	Oxyphencyclimine
A03AA03	Camylofin
A03AA04	Mebeverine
A03AA05	Trimebutine
A03AA06	Rociverine
A03AA07	Dicycloverine
A03AA08	Dihexyverine
A03AA09	Difemerine
A03AA30	Piperidolate
A03AB	Synthetic anticholinergics, quaternary ammonium compounds
A03AB01	Benzilone
A03AB02	Glycopyrronium bromide
A03AB04	Penthienate
A03AB05	Propantheline
A03AB07	Methantheline
A03AB08	Tridihexethyl
A03AB10	Hexocyclium
A03AB11	Poldine
A03AB12	Mepenzolate
A03AB13	Bevonium
