GO:0000015	phosphopyruvate hydratase complex
GO:0000109	nucleotide-excision repair complex
GO:0000110	nucleotide-excision repair factor 1 complex
GO:0000118	histone deacetylase complex
GO:0000120	RNA polymerase I transcription factor complex
GO:0000123	histone acetyltransferase complex
GO:0000124	SAGA complex
GO:0000125	PCAF complex
GO:0000126	transcription factor TFIIIB complex
GO:0000127	transcription factor TFIIIC complex
GO:0000137	Golgi cis cisterna
GO:0000138	Golgi trans cisterna
GO:0000139	Golgi membrane
GO:0000145	exocyst
GO:0000151	ubiquitin ligase complex
GO:0000152	nuclear ubiquitin ligase complex
GO:0000153	cytoplasmic ubiquitin ligase complex
GO:0000159	protein phosphatase type 2A complex
GO:0000164	protein phosphatase type 1 complex
GO:0000172	ribonuclease MRP complex
GO:0000176	nuclear exosome (RNase complex)
GO:0000177	cytoplasmic exosome (RNase complex)
GO:0000178	exosome (RNase complex)
GO:0000214	tRNA-intron endonuclease complex
GO:0000220	vacuolar proton-transporting V-type ATPase, V0 domain
GO:0000228	nuclear chromosome
GO:0000229	cytoplasmic chromosome
GO:0000235	astral microtubule
GO:0000242	pericentriolar material
GO:0000243	commitment complex
GO:0000275	mitochondrial proton-transporting ATP synthase complex, catalytic core F(1)
GO:0000276	mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)
GO:0000306	extrinsic component of vacuolar membrane
GO:0000307	cyclin-dependent protein kinase holoenzyme complex
GO:0000308	cytoplasmic cyclin-dependent protein kinase holoenzyme complex
GO:0000313	organellar ribosome
GO:0000314	organellar small ribosomal subunit
GO:0000315	organellar large ribosomal subunit
GO:0000322	storage vacuole
GO:0000323	lytic vacuole
GO:0000333	telomerase catalytic core complex
GO:0000346	transcription export complex
GO:0000347	THO complex
GO:0000407	pre-autophagosomal structure
GO:0000421	autophagosome membrane
GO:0000428	DNA-directed RNA polymerase complex
GO:0000439	core TFIIH complex
GO:0000444	MIS12/MIND type complex
GO:0000445	THO complex part of transcription export complex
GO:0000502	proteasome complex
GO:0000506	glycosylphosphatidylinositol-N-acetylglucosaminyltransferase (GPI-GnT) complex
GO:0000775	chromosome, centromeric region
GO:0000776	kinetochore
GO:0000777	condensed chromosome kinetochore
GO:0000778	condensed nuclear chromosome kinetochore
GO:0000779	condensed chromosome, centromeric region
GO:0000780	condensed nuclear chromosome, centromeric region
GO:0000781	chromosome, telomeric region
GO:0000782	telomere cap complex
GO:0000783	nuclear telomere cap complex
GO:0000784	nuclear chromosome, telomeric region
GO:0000785	chromatin
GO:0000786	nucleosome
GO:0000788	nuclear nucleosome
GO:0000790	nuclear chromatin
GO:0000791	euchromatin
GO:0000792	heterochromatin
GO:0000793	condensed chromosome
GO:0000794	condensed nuclear chromosome
GO:0000795	synaptonemal complex
GO:0000796	condensin complex
GO:0000798	nuclear cohesin complex
GO:0000799	nuclear condensin complex
GO:0000800	lateral element
GO:0000801	central element
GO:0000802	transverse filament
GO:0000803	sex chromosome
GO:0000805	X chromosome
GO:0000806	Y chromosome
GO:0000808	origin recognition complex
GO:0000811	GINS complex
GO:0000812	Swr1 complex
GO:0000813	ESCRT I complex
GO:0000814	ESCRT II complex
GO:0000815	ESCRT III complex
GO:0000835	ER ubiquitin ligase complex
GO:0000836	Hrd1p ubiquitin ligase complex
GO:0000922	spindle pole
GO:0000923	equatorial microtubule organizing center
GO:0000930	gamma-tubulin complex
GO:0000931	gamma-tubulin large complex
GO:0000932	cytoplasmic mRNA processing body
GO:0000938	GARP complex
GO:0000939	condensed chromosome inner kinetochore
GO:0000940	condensed chromosome outer kinetochore
GO:0000942	condensed nuclear chromosome outer kinetochore
GO:0000974	Prp19 complex
GO:0001518	voltage-gated sodium channel complex
GO:0001520	outer dense fiber
GO:0001527	microfibril
GO:0001533	cornified envelope
GO:0001650	fibrillar center
GO:0001651	dense fibrillar component
GO:0001652	granular component
GO:0001669	acrosomal vesicle
GO:0001673	male germ cell nucleus
GO:0001674	female germ cell nucleus
GO:0001725	stress fiber
GO:0001726	ruffle
GO:0001739	sex chromatin
GO:0001740	Barr body
GO:0001741	XY body
GO:0001750	photoreceptor outer segment
GO:0001772	immunological synapse
GO:0001891	phagocytic cup
GO:0001917	photoreceptor inner segment
GO:0001931	uropod
GO:0001939	female pronucleus
GO:0001940	male pronucleus
GO:0002079	inner acrosomal membrane
GO:0002080	acrosomal membrane
GO:0002081	outer acrosomal membrane
GO:0002102	podosome
