PC7_10399	a4b7 Integrin signaling
PC7_10400	a6b1 and a6b4 Integrin signaling
PC7_10442	activated TAK1 mediates p38 MAPK activation
PC7_10508	alpha-linolenic (omega3) and linoleic (omega6) acid metabolism
PC7_10557	amb2 Integrin signaling
PC7_1063	AKT phosphorylates targets in the cytosol
PC7_1064	AKT phosphorylates targets in the nucleus
PC7_1065	AKT-mediated inactivation of FOXO1A
PC7_11018	beta-catenin independent WNT signaling
PC7_11020	betaKlotho-mediated ligand binding
PC7_1103	ALK1 pathway
PC7_11039	binding of TCF/LEF:CTNNB1 to target gene promoters
PC7_1104	ALK1 signaling events
PC7_1105	ALK2 signaling events
PC7_11143	cGMP effects
PC7_1118	AMER1 mutants destabilize the destruction complex
PC7_1119	AMPK inhibits chREBP transcriptional activation activity
PC7_1123	AP-1 transcription factor network
PC7_11234	cell division
PC7_1127	APC-Cdc20 mediated degradation of Nek2A
PC7_1128	APC/C-mediated degradation of cell cycle proteins
PC7_1129	APC/C:Cdc20 mediated degradation of Cyclin B
PC7_1130	APC/C:Cdc20 mediated degradation of Securin
PC7_1131	APC/C:Cdc20 mediated degradation of mitotic proteins
PC7_1132	APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1
PC7_1135	APOBEC3G mediated resistance to HIV-1 infection
PC7_11357	deactivation of the beta-catenin transactivating complex
PC7_11384	degradation of AXIN
PC7_11385	degradation of DVL
PC7_11463	disassembly of the destruction complex and recruitment of AXIN to the membrane
PC7_11470	eNOS activation
PC7_11610	formation of the beta-catenin:TCF transactivating complex
PC7_1163	ARMS-mediated activation
PC7_1178	ATF-2 transcription factor network
PC7_1181	ATF4 activates genes
PC7_1189	ATF6-alpha activates chaperone genes
PC7_1190	ATF6-alpha activates chaperones
PC7_1200	ATM mediated phosphorylation of repair proteins
PC7_1203	ATM pathway
PC7_12069	mRNA Capping
PC7_12070	mRNA Editing
PC7_12073	mRNA Splicing
PC7_12075	mRNA decay by 3' to 5' exoribonuclease
PC7_12076	mRNA decay by 5' to 3' exoribonuclease
PC7_12078	mTOR signaling pathway
PC7_12079	mTOR signalling
PC7_12080	mTORC1-mediated signalling
PC7_1210	ATP sensitive Potassium channels
PC7_1213	ATR signaling pathway
PC7_1214	AUF1 (hnRNP D0) destabilizes mRNA
PC7_12149	mitochondrial fatty acid beta-oxidation of saturated fatty acids
PC7_12150	mitochondrial fatty acid beta-oxidation of unsaturated fatty acids
PC7_12187	negative regulation of TCF-dependent signaling by DVL-interacting proteins
PC7_12188	negative regulation of TCF-dependent signaling by WNT ligand antagonists
PC7_1219	Abacavir metabolism
PC7_1220	Abacavir transmembrane transport
PC7_1221	Abacavir transport and metabolism
PC7_1223	Abnormal metabolism in phenylketonuria
PC7_1224	Abortive elongation of HIV-1 transcript in the absence of Tat
PC7_12264	p130Cas linkage to MAPK signaling for integrins
PC7_12266	p38 MAPK signaling pathway
PC7_12267	p38 signaling mediated by MAPKAP kinases
PC7_12268	p38MAPK events
PC7_12271	p53 pathway
PC7_12274	p53-Dependent G1 DNA Damage Response
PC7_12279	p73 transcription factor network
PC7_12280	p75 NTR receptor-mediated signalling
PC7_12281	p75(NTR)-mediated signaling
PC7_12282	p75NTR negatively regulates cell cycle via SC1
PC7_12283	p75NTR recruits signalling complexes
PC7_12284	p75NTR regulates axonogenesis
PC7_12285	p75NTR signals via NF-kB
PC7_1230	Acetylation
PC7_1231	Acetylcholine Binding And Downstream Events
PC7_1232	Acetylcholine Neurotransmitter Release Cycle
PC7_12320	phospho-PLA2 pathway
PC7_1233	Acetylcholine regulates insulin secretion
PC7_12487	regulation of FZD by ubiquitination
PC7_12488	repression of WNT target genes
PC7_12899	tRNA Aminoacylation
PC7_13144	vRNP Assembly
PC7_1516	Activated NOTCH1 Transmits Signal to the Nucleus
PC7_1517	Activated TLR4 signalling
PC7_1518	Activated point mutants of FGFR2
PC7_1519	Activation and oligomerization of BAK protein
PC7_1520	Activation of AMPA receptors
PC7_1521	Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins
PC7_1522	Activation of ATR in response to replication stress
PC7_1523	Activation of BAD and translocation to mitochondria
PC7_1524	Activation of BH3-only proteins
PC7_1525	Activation of BID and translocation to mitochondria
PC7_1526	Activation of BIM and translocation to mitochondria
PC7_1527	Activation of BMF and translocation to mitochondria
PC7_1528	Activation of C3 and C5
PC7_1529	Activation of Ca-permeable Kainate Receptor
PC7_1530	Activation of CaMK IV
PC7_1531	Activation of DNA fragmentation factor
PC7_1532	Activation of G protein gated Potassium channels
PC7_1533	Activation of GABAB receptors
PC7_1534	Activation of IRF3/IRF7 mediated by TBK1/IKK epsilon
PC7_1535	Activation of Kainate Receptors upon glutamate binding
PC7_1536	Activation of Matrix Metalloproteinases
