D000006	Acute abdomen
D000270	Holmes-Adie syndrome
D000334	Aerophagy
D000370	Decreased taste sensation
D000419	Albuminuria
D000425	Alcohol amnestic disorder
D000472	Respiratory alkalosis
D000648	Retrograde amnesia
D000787	Angina pectoris
D000788	Prinzmetal angina
D000789	Intermediate coronary syndrome
D000849	Anomia
D000855	Anorexia
D001039	Motor aphasia
D001044	Loss of voice
D001049	Apnea
D001184	articulation disorder
D001247	Asthenia
D001260	Ataxia-telangiectasia syndrome
D001264	Athetosis
D001416	Back pain
D001750	Neurogenic bladder
D001766	Blindness
D002032	Bulimia
D002100	Cachexia
D002385	Cataplexy
D002422	Complex regional pain syndrome type 2
D002559	Cerebrospinal fluid rhinorrhoea
D002637	Chest pain
D002639	Cheyne-Stokes respiration
D002832	Choroid hemorrhage
D003085	Abdominal colic
D003128	Coma
D003147	communication disorder
D003221	Confusion
D003371	Cough
D003410	5p partial monosomy syndrome
D003490	Cyanosis
D003638	Deafness
D003967	Diarrhea
D003968	Infantile diarrhea
D004172	Diplopia
D004314	Complete trisomy 21 syndrome
D004408	Parageusia
D004412	Dysmenorrhea
D004415	Dyspepsia
D004417	Dyspnea
D004418	Paroxysmal dyspnea
D004433	Ear pain
D004438	Ecchymosis
D004454	Echolalia
D004489	Cardiac edema
D004614	Emaciated
D004688	Functional encopresis
D004884	Burping
D005130	Hemorrhage of the eye
D005132	Eye Manifestations
D005221	Fatigue
D005262	Abnormal development of female secondary sexual characteristics
D005316	Fetal distress
D005320	Fetal macrosomia
D005334	Fever
D005335	Pyrexia of unknown origin
D005414	Flatulence symptom
D005483	Flushing
D005862	Gerstmann syndrome
D005884	Gingival bleeding
D005926	Tongue pain
D006209	Halitosis
D006261	Headache
D006311	Hearing problem
D006312	Bilateral hearing loss
D006314	Conductive hearing impairment
D006315	Psychogenic deafness
D006316	High-frequency hearing impairment
D006319	Sensorineural hearing loss
D006337	Heart murmur
D006356	Heartburn
D006396	Hematemesis
D006456	Hemoglobinuria
D006469	Hemoptysis
D006472	Oral bleeding
D006606	Hiccoughs
D006628	Hirsutism
D006685	Hoarse voice
D006732	Horner syndrome
D006935	Hypercapnia
D006939	Hyperemesis gravidarum
D006941	Hyperesthesia
D006942	Hypergammaglobulinemia
D006948	Hyperkinesis
D006963	Polyphagia
D006985	Hyperventilation
D006987	Sensory impairment
D006988	Hyphema
D007024	Orthostatic hypotension
D007035	Hypothermia
D007040	Hypoventilation
D007383	Intermittent claudication
D007565	Jaundice
D007625	Kearns Sayre syndrome
D007706	Menkes kinky-hair syndrome
D007806	Language impairment
D007859	learning disorder
D007926	Lesch-Nyhan syndrome
D008065	Lipid proteinosis
D008569	Memory impairment
D008580	Meningeal irritation
D008998	Monoclonal gammopathy of uncertain significance
D009041	Motion sickness
D009058	Mouth breathing
D009122	Hypertonia
D009128	Spasticity
D009155	Mutism
D009325	Nausea
D009461	Neurological deficit
D009755	Nyctalopia
D009765	Obesity
D009767	Morbid obesity
D009846	Oliguria
D009912	Oral Manifestations
D010146	Pain
D010148	Pain, Intractable
D010167	Pallor
D010243	Paralysis
D010291	Hemiparesis
D010845	Extreme obesity with alveolar hypoventilation
D011141	Polyuria
D011218	Prader-Willi syndrome
D011304	Old-aged sensorineural hearing impairment
D011507	Proteinuria
D011537	Pruritus
D011538	Pruritus ani
D011539	Pruritus vulvae
D011595	psychomotor agitation
D011596	Psychomotor retardation
D011602	Psychophysiologic disorder
